wt = 7.131657, b = 1.638081
{45.539719, 401.291473},
{0.878933, 9.396204},
{83.416245, 513.323669},
{96.121094, 577.689819},
{27.497179, 246.281860},
{54.203926, 316.777802},
{12.381359, 69.080826},
{68.584244, 378.128021},
{18.237862, 104.082008},
{13.248084, 79.640900},
{82.995087, 496.081573},
{77.282021, 505.122559},
{38.123722, 229.046555},
{12.063967, 77.106400},
{58.729820, 502.085083},
{6.851406, 57.949577},
{68.468277, 503.457611},
{58.247627, 432.661987},
{90.008240, 785.294800},
{49.278240, 289.716644},
{81.612602, 695.661072},
{3.646962, 21.751566},
{50.486767, 363.700531},
{30.823696, 176.773773},
{83.498642, 728.037476},
{27.564318, 237.823257},
{85.915710, 689.535461},
{51.506088, 339.991974},
{68.764305, 605.602722},
{32.459484, 268.841949},
{75.453964, 651.155151},
{37.028107, 320.582092},
{88.296150, 673.955383},
{52.150028, 394.418945},
{5.499435, 34.873177},
{3.244118, 22.037449},
{29.331339, 228.746689},
{72.518082, 577.190918},
{56.016724, 317.880798},
{33.115635, 290.698151},
{8.020265, 45.788002},
{64.711449, 377.311829},
{99.362167, 684.784973},
{66.154976, 581.791992},
{74.517044, 620.773376},
{30.842007, 275.913452},
{11.618397, 67.572441},
{0.378430, 4.550049},
{30.533770, 239.595413},
{62.205875, 544.621338},
{96.423233, 597.811035},
{6.775109, 46.089104},
{59.456158, 519.163757},
{9.961242, 88.426346},
{21.280558, 132.502182},
{56.242561, 388.556427},
{68.886383, 449.998596},
{68.358406, 554.055969},
{66.423538, 398.664886},
{59.038055, 379.249176},
{45.738091, 297.317566},
{70.415359, 419.497955},
{86.098824, 494.671021},
{16.754662, 132.269714},
{23.819696, 137.270981},
{96.148560, 721.661316},
{82.427444, 653.981628},
{86.751915, 717.028503},
{63.899654, 385.811279},
{93.249306, 710.330933},
{91.723381, 761.109497},
{59.111301, 322.067688},
{46.284370, 352.884644},
{10.309153, 90.360352},
{83.315536, 552.227722},
{46.104313, 267.489380},
{75.914795, 639.764221},
{42.515335, 354.780975},
{70.885345, 392.742279},
{84.130379, 545.252808},
{99.920654, 595.382446},
{89.843437, 720.191528},
{36.289562, 288.645782},
{48.173466, 393.511475},
{37.708672, 311.605560},
{27.774895, 237.140015},
{65.892509, 393.769867},
{78.765221, 664.392944},
{23.551134, 186.626038},
{90.499588, 750.946960},
{99.380478, 791.535583},
{21.417891, 181.691666},
{61.650444, 510.561920},
{66.600540, 513.613586},
{91.109955, 622.833130},
{78.600418, 562.664001},
{93.716240, 535.517151},
{7.281716, 58.933891},
{83.919800, 660.687256},
{74.178291, 398.931458},
